  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
18.5,6.5,1,7.8,955.57,1.3,87.92,6.7,-2.7
17.1,6.1,1,7.7,945.39,6.7,86,9.1,3.9
19,6.6,1,6.7,970.05,1.4,83.54,3.8,-0.4
18.9,6.9,1,6.5,970.07,1.4,90.38,5.1,-0.8
25.7,7.9,1,7.4,959.67,3.8,84.42,5.4,1.5
14.1,5.2,1,7.7,959.54,2.4,90.79,4.1,0.6
7.2,2.7,1,7.3,973.18,2,92.29,3.2,1.2
8.7,3.3,1,7.3,985.51,0.3,89.71,1.3,-0.7
10.5,2.5,1,8,984.74,0.6,95.67,1.8,-0.4
5.7,1.3,1,8,994.55,2,95.75,3.4,0.5
4.1,1.8,1,8,995.15,3.8,97.75,4.6,2.9
6.9,2.8,1,8,996.94,5.5,98.5,6.5,4.1
6.2,2.7,1,8,996.1,7,98.42,8,5.8
10.3,3.9,1,8,996.53,6.9,94.96,7.4,6.2
9.3,5.4,1,8,991.18,5.5,95.63,6.2,4.4
8.7,4,1,7,981.48,2.5,94,4.4,0.7
18.5,6.4,1,4.9,967.67,5.1,81.96,8.8,2.7
12.9,5,1,7.5,951.12,4.1,86.96,5.5,1.6
12.3,5.4,1,7.4,963.23,1.1,86.5,2.7,0.1
14.6,6.2,1,7.6,969.48,0.9,88.04,3.8,-0.3
16.3,7.3,1,7.8,968.33,7.7,91.38,12.8,2.1
19.5,8.3,1,7.3,970.82,10.7,78.88,12.3,8.5
18.2,8.9,1,7.5,967.52,6,80.42,8.6,4.3
14.2,6.7,1,7,974.54,4.8,87,5.9,2.7
25,10.9,1,7.3,963.97,6.9,82.88,9.7,5
18.2,7.7,1,7.5,963.3,8.1,90.54,12,5.2
14.1,5.8,1,7.8,964.29,7.7,90.13,8.8,6.9
9.4,2.7,1,7.9,969.33,7,93.29,7.9,5.9
14.9,7.6,0,8,978.82,4.6,92.08,5.9,3.5
14.4,7,0,7.5,980.03,4.9,84.79,6,3.6
12.7,3.4,1,7.2,974.11,5.6,85.46,7.7,2.1
11.8,3.5,1,7.6,973.25,5.9,89.5,7.8,4.9
4.6,1.4,0,7.2,977.5,5.8,93,8,3.4
6.7,2.1,0,5.6,985.71,4.7,89.42,7.5,1
11.1,4.8,0,6.3,984.48,2.9,80.29,4.1,0.6
8.7,4.2,0,0.8,981.88,0.6,85.5,3.9,-2.7
19.2,6,1,6.6,973.55,2.8,85.92,5.9,-2.7
21.3,8.1,1,7.3,961.22,5,86.08,6.8,2.2
18.3,8.7,1,6.9,967.76,2.6,79.63,4.6,-0.1
21.1,8.2,1,6.5,967.26,4.9,85.46,8.6,1.5
14.2,5.5,1,7.1,972.56,2.8,86.88,4.4,1.5
10.3,3.8,1,7.9,967.67,1.5,95.29,2.3,0.2
9.3,3.3,1,6.6,975.68,1.9,84.75,3.8,0.5
9.3,2.8,1,7.6,973.56,6.3,94.17,9.9,1.3
10.3,4.2,1,7.7,986.25,6.3,84.79,7.4,5.1
12.3,5.8,1,6.9,982.97,8.4,87.08,10.5,7
13.4,4.6,1,7.9,976.95,8.1,88.29,9.5,6.1
5.7,1.4,1,8,980.54,5.5,95.92,7.1,3.8
8.7,1.8,1,6.7,992.35,2.8,96.83,4.8,-1.5
11.8,6,1,8,996.43,5,94.58,6.4,3.1
14.6,6.8,1,8,992.85,7,92.96,7.9,6
8.7,2.6,1,7.2,990.15,7.1,91.08,9.2,4.5
16.3,7.1,1,8,974.68,6.1,93.21,7.1,2.7
12.9,5,1,6.3,966.04,2.2,87.63,4.7,-0.4
10.3,4.4,1,7.8,968.76,1,94.38,2.7,-0.5
6.2,2.4,1,7.4,969.52,1.2,90.08,3.3,0.2
7.9,2.2,1,7.9,977.21,-0.6,89.25,0.7,-1.9
13,6.2,1,6.5,981.6,-0.5,84.17,1.3,-1.7
9.9,4.2,1,6.7,973.61,-0.7,80.96,1.9,-2.5
