  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,  Bedeckungsgrad, Dampfdruck, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
11.3,4,1,0,4.5,1.9,978.88,-8.2,57.96,-4.7,-11.4,-14.1
18,7,0,0,2.8,1.8,975.46,-7.9,54.33,-3.2,-12.4,-14.3
15.9,8,1,0,7.3,2.2,964.48,-4.2,48.5,-0.8,-7.9,-8.4
14.9,5.6,1,0,7.9,3.2,957.95,-3.5,68.88,-1.9,-4.6,-4.7
8.7,3.1,1,3,8,5.3,958.98,-1.3,94.42,1.3,-3.7,-3.8
9.8,3.4,1,0,7.1,7.3,959.63,4.7,86.25,10.4,-0.7,-1.5
9.3,3.4,0,0,5.5,7.2,957.66,6.5,76.58,12.3,2.6,0.1
6.2,2.7,1,0,6.2,7.1,954.73,4.8,83,10.1,1.5,-2.3
14.9,4.8,1,0,6.7,7.1,959.99,3.9,88.46,6.8,0.2,-2.5
15.9,6,1,0,6.8,6.9,967.25,5.3,79.54,11.2,1.5,0.4
7.2,2.3,1,0,8,8.7,969.9,6.4,89.42,9.9,3,1.8
9.3,3.5,1,0,6.9,10.7,966.26,10.4,85.04,11,9.5,5.4
11.3,2.7,1,0,7.6,10.9,959.76,9.8,89.54,11.5,6.6,4.3
15.3,5.3,1,0,7.3,9.8,959.21,8.9,86.08,11.6,7.3,6.2
15.3,6.4,1,0,7.8,8.3,968.34,5.9,89.29,7.7,4.7,4
9.8,3.1,0,0,3.1,7,972.42,6.4,73.54,11.2,1.7,-1.3
10.3,4.1,1,0,6.7,7.4,960.22,5.1,83.5,7.2,2.4,1
9.8,3.5,1,0,5.1,8.4,963.8,6.8,85.58,11.9,2.1,-1.8
14.9,6.7,1,0,7.5,5.4,962.12,-0.2,87.13,4.3,-3.7,-3.8
13.7,7.1,1,0,7.8,3.7,965.23,-3.2,76.46,-2.1,-4.3,-4.6
10.6,5,0,0,6.4,3.7,970.75,-1.3,67.29,3,-3.7,-4.8
10.6,3.2,1,0,3,3.8,979.55,-1.3,67.29,3.6,-6.5,-9.4
9.3,2.5,0,0,2.6,3.3,988.32,0.3,57.42,6.1,-5.3,-8.8
8.2,2.7,1,0,6.5,5.2,980.85,-0.3,85.25,1.7,-3.6,-7
6.9,2,1,0,7.6,7.1,970.46,3.2,92.96,5.7,0,-2
8.7,3.8,0,0,2,6,963.61,4.6,74.04,11.3,-0.5,-1.5
6.2,2.2,0,0,3.5,5.7,968.7,6.5,60.54,12.6,-1.3,-5.2
8.4,1.5,1,0,6.6,6.5,976.4,6.3,68.79,12.7,2,-1.7
14.9,4,1,0,7.5,7.2,975.03,5.2,82.5,10.3,1.8,-0.4
17.1,6.2,1,0,7.7,8.9,967.2,7.4,85.83,9.6,4.6,3.9
8.9,3.7,1,0,6,6.5,969.57,5.4,73.63,9.8,2.8,0
11.8,3,1,0,6.9,7.5,964.07,5.3,83.92,10.8,0.2,-1.8
11.1,1.9,1,0,6.5,7.1,963.07,5.8,79.29,12,0.7,-1.4
13.9,5.5,1,0,7.4,7.4,972.19,5.7,80.67,8.3,2.7,-0.8
12.3,3.1,1,0,6.2,6.7,970.9,8.2,64.54,13.4,0.2,-1.8
13.5,5,1,0,7,7.5,966.97,13,50.5,17.8,9.8,7.4
14.1,4.3,1,0,7.2,9.8,967.15,10.1,79.92,12,7.6,6.9
16.1,5.7,1,0,6.3,8,976.67,7,79.42,9.7,1,-1
12.3,5.2,0,0,1.1,6.7,980.19,8,65.04,15.1,0.7,-1
13.2,3.9,1,0,1.8,7.6,974.2,13.9,51.29,22.8,4.1,1.3
8.2,3,0,0,4.2,8.9,969.91,16.6,48.58,24.3,9.4,5.8
9.1,3.7,1,0,6.3,10.5,966.88,13.6,67.5,18.4,10.3,5.6
11.3,2.5,1,0,7.3,10.6,967.36,9.4,89.83,13.6,4.2,2.4
10.3,2.7,0,0,2.3,8.4,967.67,10.6,68.88,17.6,1.9,-0.1
11.1,4,0,0,5.3,9.8,962.8,12.5,68.75,18.2,7.9,4.1
9.3,2.7,1,0,5.7,9.4,971.57,9.9,77.75,13.3,6.3,2.8
9.6,1.8,1,0,5.4,9.5,980.15,13.2,64.17,18.7,7.5,3.8
7,1.7,0,0,6.8,11.2,975.85,13.7,72.88,18.6,9.8,7
9.3,2.2,0,0,3.2,9.4,978.13,12.5,67.67,19.2,6.5,3
6,1.3,0,0,3,9.1,987.21,13.9,61.13,21.8,4.7,1.1
11.1,3.8,0,0,3.1,9.6,991.29,17.2,51.96,24.6,9.7,5.4
11,3.1,0,0,0.8,10,988.61,18.8,48.63,26.6,10,6.4
5.7,2,0,0,2.5,10.1,985.2,19.4,47.67,27.7,12.4,7.1
6.2,1.4,0,0,1.9,11.6,981.65,19,56.54,26.8,10.1,6.8
10.8,3.4,1,0,4.4,12.5,977.26,19.4,57.58,26.1,11.2,7.6
11.8,3.6,1,0,6,13.5,979.01,15.6,76.33,20.1,8.7,5.6
10.5,2.9,0,0,6,10.8,980.06,13.4,72.58,19.1,7.9,4.5
13.7,5.2,1,0,4.7,11.4,976.48,12.2,80.46,16.9,8.2,5.3
12.7,4.3,0,0,3.9,7.7,980.83,8.7,70.46,14.1,5,1.6
10.6,3.6,0,0,4.6,7.9,974.27,12.2,59.13,19.6,2.9,-0.4
9.9,3.6,1,0,5.1,9.4,975.02,11.4,70.54,15.7,7.4,4.3
15.6,3.9,1,0,6.2,12.8,967.41,14.8,76.38,22.1,6.6,3.7
21.8,7.9,1,0,6.5,9.4,967.39,9.9,76.67,14.4,3.9,1.8
10.8,4,0,0,5.5,6.8,975.75,7.1,69.08,12.6,2.9,-0.4
5.8,1.7,0,0,6.3,7.6,975.01,9,68.13,15,1.7,-1.7
9.3,2.8,0,0,6.3,8.9,977.7,12.1,64.58,17.8,6.1,3.6
12.5,5.6,0,0,1,8.9,981.02,14.6,53.46,20.7,7.9,6.4
13.9,6,0,0,0.1,10,982.86,16.4,53.96,22.8,9.7,8.4
11.3,5,0,0,0,9.4,982.83,17.5,49.21,24.3,11,8.2
11.7,4.8,0,0,0.3,9.7,979.11,17.7,50,24.5,10.9,8.9
12.5,4.2,0,0,0,9.3,972.6,19,45.17,25.3,10.8,8.6
7.9,2.8,1,0,2.5,11.4,969.44,18.4,55.33,25.3,12.5,8.8
10.3,3.3,1,0,6.4,11.8,975.16,12.3,82.29,15,8.8,6.1
7.5,2.4,0,0,3.3,10.9,980.3,13.9,70.83,20,7.9,6.5
7.9,2.4,1,0,6,12.6,975.94,17.2,66.25,24.5,8.5,4
9.3,3.1,1,0,7.8,13.5,973.4,12.5,93.17,16.1,10.8,11.6
7.9,2.8,1,0,7.4,15.1,972.23,14.6,90.79,17.9,11.7,9.6
10.8,3.2,1,0,4.2,11.1,975.28,15.5,65.25,20.8,8.2,4.8
11.8,3,1,0,6.5,12,977.27,14.2,75.67,19.2,10.9,8
6.9,2.2,0,0,4.5,11,980.9,14.6,68.92,20.6,7.6,4.2
8.2,2.2,0,0,3.5,9.4,982.3,12.6,66.83,19.4,5.3,1.7
8.6,3.5,0,0,3,9.2,982.23,13.2,63.29,19.4,6.8,3.8
11.7,4.4,1,0,6.1,11.7,981.48,13.1,76.79,16.3,9.4,7.5
8.1,3,1,0,4.7,12.9,976.18,16.9,68.5,23.3,10.2,8.3
9.1,1.8,1,0,5.4,14.3,975.15,17.1,76.33,25.6,10.4,7.1
11.1,2.2,1,0,6.9,15.5,979.65,16.4,83.67,21.5,12.9,11.5
11.1,2.2,1,0,5.8,15.4,980.15,16.2,84.88,22.6,11.4,9.1
5.5,1.5,0,0,5.2,14.4,980.52,17.6,75,25.3,9.2,7.4
