  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
6.5,2.2,1,0,6.3,10.1,984.2,9,89,12.1,5.7,2.2
7.5,1.8,0,0,5.7,12.1,983.6,13.1,81,18.1,8.4,5
7.9,1.4,1,0,6,11.2,979.1,12.4,77,15.8,8.2,6.8
4.5,1.3,1,0,7.7,11.5,978.6,11.6,85,14.9,9.4,9.4
6.4,2.3,0,0,5.3,13.1,979.9,14.6,80,18.5,10.2,10.2
11.8,1.9,1,0,5,12.7,980.3,14.3,77,19.3,8.9,6.4
9,2.2,1,0,5.3,11.5,976.8,14.6,69,18.8,8.7,5.9
11.5,3.2,1,0,7.3,12.7,976.4,12.6,87,15.2,10.6,10.1
8.5,2,0,0,2,13.1,975.1,16.7,69,22.4,8.9,5.6
11.5,4.1,1,0,6.7,15.3,970,17.4,75,21.7,12.6,11.1
12.6,3.1,1,0,8,15.5,970,14,94,17,12.1,13.2
9.4,3,0,0,5,13.3,981.6,14.7,79,18.7,10.4,9
10.5,2.8,1,0,7.3,14.9,983.9,15.1,89,18.9,10.4,8.6
13.9,5.2,1,0,5,17.9,979.5,21.1,73,24.9,15.7,14.7
15,5.2,1,0,4.3,13.1,982.7,16.3,70,21.7,14.9,15
7,1.6,0,0,0,15.2,984,19.2,70,24.4,11,8.3
6.5,1.5,0,0,1,17.6,981.8,22.9,63,28,15,12
17,3.8,1,0,4.3,18.9,976.6,21.2,73,29.2,17.3,16
12.5,2.4,1,0,7.3,18.7,974.6,18,87,23.9,15.5,15
9.5,3.4,1,0,8,12.1,978.6,11.8,88,15.5,10.9,11.2
4.7,2.2,1,0,7.7,13.9,977.4,13.7,89,15.6,10.7,10.9
6.9,2.2,1,0,7.3,16.8,970.6,19.1,78,23.5,13.4,13.1
7.9,3,1,0,7.7,16.5,968,15.9,91,19.7,14.9,14.7
10.9,3.1,1,0,3.7,13.7,970.6,14.6,82,20.5,12.1,11.2
11,3.5,1,0,6.3,13.7,972.3,13.8,87,17.4,11.2,9.7
5.9,1.7,1,0,6.7,14.8,977.6,15.9,83,19.5,12.6,11.9
8.4,2.3,1,0,5,15.3,975.1,18.7,72,23.4,11.7,10.1
11.7,2.8,1,0,5.7,15.1,969.8,14.2,90,18.5,12.5,13.2
9,2.8,1,0,6,13.1,969.6,13.7,83,17.4,11.5,9.8
8.1,2,0,0,4.7,13.9,975.4,14.5,84,19.5,11.3,9.2
5.1,1.5,1,0,2.3,14.7,979.5,16.8,77,21.5,10.7,8
11.3,3.2,0,0,7.3,13.7,981.1,15.9,78,19.7,11.2,9.5
13.3,4.3,1,0,7,15.2,983.1,15.8,84,20.3,11.2,10.5
6,1.8,0,0,3.7,14.3,988.2,17.2,75,22.5,9.9,7.2
7.5,1.5,0,0,1.7,15.6,983.1,19.7,68,26,13,10.4
9.7,1,1,0,2.7,15.2,972.8,21.1,62,27.6,13.8,9.7
12.4,4.2,1,0,6.3,16.5,968.6,17.2,84,20.3,15.6,13.7
16,5.2,1,0,5.3,15.1,968,18.4,71,23.2,14.3,12.2
14.5,5.7,0,0,3.3,11.1,978.8,14.4,67,18.8,10.5,8.6
