Wind_max,Wind_mittel,Schneehöhe,Bedeckungsgrad,Dampfdruck,Luftdruck,Temp_mittel,rel_Feuchte,Temp_max_2m,Temp_min_2m,Temp_min_5cm
8.2,2.3,0,4.3,12.0,983.5,13.9,76.0,18.3,7.4,3.3
4.0,1.5,0,7.3,8.8,984.6,6.1,92.0,9.3,3.5,0.1
10.2,4.5,0,7.7,9.4,972.6,8.6,84.0,10.4,5.1,4.4
9.1,4.2,0,8.0,11.0,986.7,8.4,100.0,9.4,7.4,7.3
12.6,4.7,0,3.3,9.4,985.2,13.2,64.0,16.4,8.4,6.4
6.6,1.9,0,4.0,10.7,978.8,10.3,82.0,14.9,8.6,6.6
10.8,2.4,0,4.7,13.7,976.3,12.8,92.0,18.9,8.6,4.6
4.0,0.7,0,1.0,16.6,981.1,21.1,68.0,26.7,13.8,8.4
10.7,2.3,0,0.6,11.3,989.3,18.0,58.0,25.1,9.0,5.2
8.9,1.7,0,7.7,13.7,983.2,13.9,84.0,17.1,12.7,11.4
8.2,2.0,0,3.7,7.2,974.6,7.2,72.0,12.3,1.2,-3.5
6.8,2.5,7,8.0,4.0,971.9,-4.7,92.0,-3.0,-5.4,-5.1
5.7,2.0,0,6.0,9.5,969.8,7.8,88.0,11.3,6.5,6.6
7.4,1.9,0,8.0,15.9,979.6,16.7,84.0,19.8,13.1,12.7
8.0,1.7,0,3.3,10.1,973.2,9.5,85.0,16.2,3.3,1.3
10.1,4.0,0,5.3,7.3,974.0,3.8,88.0,7.5,2.0,4.2
7.0,1.6,0,5.0,16.8,979.1,18.5,79.0,23.1,13.0,8.1
9.9,2.7,0,8.0,5.6,985.5,0.4,87.0,3.6,-1.0,-2.9
9.3,3.3,11,4.1,4.6,985.57,-2.7,91.08,-0.2,-8.7,-13.2
14.8,4.5,0,6.3,10.4,977.3,12.4,72.0,16.5,10.1,10.0
12.0,4.3,0,8.0,15.6,975.5,14.9,93.0,16.5,12.7,11.4
7.0,1.7,0,6.0,6.9,979.2,5.1,78.0,9.7,0.9,-3.0
4.7,0.7,0,7.7,4.4,984.8,-3.0,91.0,-1.6,-6.6,-10.2
13.0,5.8,0,1.3,7.9,988.3,7.6,77.0,11.1,3.8,1.6
7.0,1.7,0,5.0,9.5,980.0,13.4,63.0,17.2,5.4,1.0
14.9,4.7,0,7.3,6.5,968.8,2.6,88.0,7.2,0.6,-0.4
4.6,1.9,0,6.8,9.2,976.54,6.2,97.08,9.3,2.6,0.6
6.8,1.9,0,7.3,7.0,997.0,6.0,74.0,10.6,1.3,-2.1
11.4,3.5,0,4.7,8.8,985.2,8.2,81.0,12.1,3.9,2.7
7.5,3.2,0,4.2,15.6,984.6,15.9,86.0,19.4,12.8,9.1
9.0,4.7,0,0.3,11.3,988.0,11.5,82.0,16.5,8.5,8.1
9.5,3.2,0,7.0,15.0,986.7,16.9,79.0,21.3,13.3,10.1
11.1,3.4,0,5.0,13.1,979.3,16.3,70.0,19.8,14.2,13.2
8.8,2.2,0,7.3,5.0,982.5,-0.6,86.0,0.3,-1.4,-3.8
6.5,1.6,0,7.3,17.5,979.5,17.8,85.0,21.0,14.5,14.4
9.7,3.4,0,4.0,13.4,986.1,14.2,81.0,19.0,12.0,10.0
7.7,2.7,0,5.4,11.7,979.0,11.0,89.0,14.8,5.6,1.9
9.3,3.2,0,7.1,8.7,988.65,6.2,91.79,8.7,4.1,1.8
8.7,3.9,0,6.9,5.1,967.16,0.9,79.08,5.4,-0.8,-1.4
10.7,3.6,0,5.6,6.5,987.3,5.6,72.0,9.6,0.6,-3.1
13.2,3.3,0,7.9,7.2,986.14,2.7,97.46,5.2,0.5,-0.5
5.1,2.1,0,4.3,8.7,981.8,5.2,99.0,9.5,3.1,1.1
13.0,5.8,0,3.2,3.6,978.0,1.4,55.0,5.0,-3.1,-6.7
9.1,4.1,0,4.0,13.1,983.8,15.6,73.0,21.4,10.8,9.8
11.5,4.4,0,7.7,8.3,976.2,5.5,90.0,7.3,3.4,2.6
8.8,3.8,0,2.2,12.8,981.0,22.6,50.0,29.7,15.4,12.8
6.0,2.8,0,0.7,14.8,977.6,24.9,47.0,30.6,19.3,16.3
10.6,2.4,0,7.0,9.7,983.0,10.5,78.0,15.9,5.1,0.5
13.8,3.6,0,8.0,5.9,979.8,1.4,86.0,2.6,0.4,-0.1
9.2,2.8,0,2.3,5.9,982.2,0.4,94.0,4.0,-4.3,-5.7
7.0,2.9,0,6.7,10.4,982.0,12.0,77.0,17.0,5.6,3.6
3.9,2.2,0,8.0,4.7,981.9,-1.9,89.0,-1.3,-3.8,-3.4
8.3,3.5,0,0.3,6.8,980.2,13.2,46.0,18.6,6.8,0.8
10.0,4.1,0,0.0,3.8,984.7,-4.2,82.0,0.2,-6.0,-11.3
11.1,3.7,0,5.3,13.7,970.8,18.2,66.0,23.5,14.0,9.7
11.2,3.9,0,6.7,16.4,974.8,20.8,67.0,27.2,13.0,10.6
16.3,1.7,0,7.7,12.3,978.0,12.9,82.0,15.8,10.9,5.6
6.5,2.2,0,3.0,6.6,986.5,11.3,50.0,15.4,8.4,6.4
7.9,1.3,0,5.7,11.5,983.5,12.6,79.0,16.1,6.1,3.7
7.5,2.4,0,1.3,11.2,984.9,14.3,68.0,19.5,8.3,5.3
8.4,3.9,0,0.3,11.2,980.8,16.5,60.0,22.6,8.1,4.7
6.1,1.6,0,1.3,7.6,978.3,12.0,57.0,16.9,4.3,0.0
12.9,5.8,0,5.2,12.2,980.2,16.7,66.0,21.5,12.8,11.5
6.2,2.5,0,5.0,6.6,988.6,6.5,69.0,10.8,3.0,-1.8
14.0,3.3,0,7.0,12.2,975.8,15.1,68.0,21.3,10.6,6.7
6.9,1.9,0,3.4,9.6,988.0,12.1,70.0,17.3,6.3,3.7
4.5,2.1,0,7.3,6.1,970.4,0.6,95.0,1.1,-1.6,-3.4
6.0,1.0,0,0.7,13.5,980.7,21.7,55.0,27.0,12.5,10.2
8.4,3.7,2,7.0,6.0,976.0,0.8,92.0,2.5,0.2,-0.9
8.9,2.2,0,6.3,13.6,975.9,13.1,89.0,15.9,11.8,9.9
14.1,4.9,0,8.0,15.9,973.2,14.2,93.0,18.2,11.8,14.3
10.4,4.0,0,8.0,7.6,985.8,3.4,97.0,4.8,2.0,1.4
5.5,1.8,0,1.3,16.0,982.8,17.8,79.0,25.4,11.5,8.5
8.5,3.5,0,6.3,15.0,979.5,15.4,86.0,18.9,11.2,7.8
6.9,1.6,0,4.7,10.3,984.8,16.1,57.0,20.8,6.8,2.2
14.7,6.7,0,7.0,6.3,980.6,3.3,81.0,5.4,2.2,0.7
7.0,3.6,0,0.0,14.9,985.2,22.2,58.0,28.0,17.4,14.7
8.2,1.8,0,4.7,6.5,982.4,5.3,74.0,10.0,-2.3,-3.4
14.0,4.7,0,4.3,16.7,976.0,20.2,68.0,24.0,18.3,15.3
5.0,0.6,0,8.0,19.9,981.8,18.1,96.0,20.6,15.5,13.3
11.8,5.7,0,5.5,6.9,993.0,3.0,91.0,5.3,-0.7,-2.5
8.9,4.6,0,3.0,11.2,984.2,13.2,74.0,17.5,9.3,8.0
6.5,2.4,9,8.0,5.5,974.2,-0.1,92.0,1.9,-4.9,-5.5
10.1,3.6,0,6.0,11.9,978.1,12.2,83.0,16.9,9.1,6.0
8.3,2.4,8,7.7,5.5,962.7,-0.5,93.0,0.2,-1.4,-2.2
8.0,3.2,0,7.3,4.6,976.5,-1.9,89.0,-0.7,-4.9,-7.6
6.0,1.3,19,5.3,3.7,979.0,-3.8,81.0,-1.1,-6.1,-6.4
9.1,2.8,0,1.3,9.1,988.8,15.4,55.0,21.3,8.1,4.2
4.9,2.6,0,7.3,4.8,960.0,0.3,78.0,3.6,-7.4,-11.5
16.5,3.1,0,3.5,14.8,975.0,20.0,66.0,27.8,14.7,13.3
9.8,5.1,0,8.0,6.5,992.5,1.8,96.0,3.0,-0.1,-1.0
11.0,4.7,0,0.0,6.1,986.7,5.0,73.0,10.0,0.8,-0.8
9.2,2.4,0,1.0,2.7,973.7,-5.2,67.0,0.3,-9.5,-12.1
13.1,4.7,0,6.6,7.5,978.9,5.3,84.0,7.3,2.5,-0.2
10.5,3.5,0,5.3,11.9,975.4,11.8,84.0,14.7,10.5,8.5
15.0,6.3,0,7.3,9.9,977.0,10.5,78.0,13.7,8.5,8.0
11.7,5.8,0,0.3,10.0,989.9,14.6,62.0,20.3,8.0,6.4
14.1,5.2,0,3.9,6.6,991.41,4.3,80.29,6.8,0.5,-1.4
5.9,1.2,0,2.3,10.6,981.6,12.3,77.0,18.9,5.9,3.5
5.0,1.0,4,8.0,4.7,972.0,-2.9,95.0,-1.4,-3.4,-3.4
5.1,2.4,0,8.0,7.5,980.27,4.5,88.71,5.9,3.4,3.7
18.7,4.8,0,8.0,12.0,972.2,12.9,78.0,16.4,9.5,3.6
8.4,2.6,0,1.0,17.1,982.4,22.4,65.0,28.8,15.6,11.8
6.2,2.6,0,3.2,14.4,980.05,21.6,57.54,29.0,12.7,10.4
7.5,2.6,0,8.0,16.7,977.8,17.3,84.0,21.9,13.2,13.6
7.1,3.0,0,0.1,11.6,986.4,20.3,51.0,27.3,11.4,5.7
10.9,3.5,0,2.3,17.0,982.1,21.6,67.0,28.4,15.5,14.0
12.7,5.9,0,6.0,6.4,976.1,6.0,71.0,7.6,3.1,1.3
14.0,5.8,0,6.0,11.2,964.8,13.4,74.0,16.8,8.1,7.2
10.0,3.8,0,2.0,16.4,974.7,27.4,47.0,33.3,19.5,16.0
8.9,3.4,0,7.0,8.5,984.5,7.0,87.0,9.0,2.7,0.9
6.7,2.1,0,4.3,8.0,985.59,10.1,66.25,15.6,5.2,2.1
5.9,2.6,0,5.7,13.5,979.1,13.4,86.0,17.9,11.7,10.4
8.2,4.1,0,8.0,13.4,983.2,12.9,89.0,14.9,11.5,11.8
14.9,4.1,0,5.9,10.1,979.37,13.7,65.33,20.9,6.2,2.9
15.4,5.1,1,7.3,5.3,976.0,-0.1,89.0,0.8,-2.6,-5.3
9.1,4.2,2,4.8,6.0,986.65,1.3,90.25,3.2,-1.1,-2.4
12.6,4.9,0,1.0,5.7,983.0,7.4,59.0,12.9,1.1,-0.5
12.3,6.3,35,8.0,3.0,967.9,-8.2,89.0,-6.8,-9.0,-10.2
9.5,4.5,10,7.7,3.9,966.5,-3.9,87.0,-3.0,-6.7,-10.8
19.0,6.0,0,6.7,6.8,966.4,3.2,88.0,6.7,0.8,-0.2
7.9,3.0,0,6.6,7.1,975.9,5.5,80.0,11.3,0.7,-1.9
17.2,6.6,2,7.3,6.0,961.3,0.1,97.0,3.1,-0.6,-2.4
10.7,4.9,0,8.0,8.7,968.1,5.1,100.0,5.9,2.6,2.3
16.1,6.5,0,6.7,8.1,966.0,12.2,59.0,13.9,7.3,5.1
13.8,6.6,0,2.7,7.6,978.2,17.0,41.0,21.8,10.6,8.4
15.6,7.8,0,8.0,8.2,977.73,5.0,94.33,6.2,3.4,3.3
16.7,6.9,0,0.0,2.9,990.1,2.0,43.0,7.3,-1.8,-4.4
6.9,2.8,0,4.7,11.6,986.5,14.0,71.0,17.6,9.5,5.5
13.9,3.7,0,6.5,7.6,977.9,5.7,83.0,10.5,0.0,-2.8
7.8,2.2,5,4.7,3.5,966.8,-5.2,86.0,-2.3,-10.8,-18.8
4.3,1.2,0,5.3,19.1,985.5,20.1,83.0,24.1,15.4,14.4
11.4,3.7,0,7.0,11.5,977.97,10.5,90.33,13.0,6.1,3.6
7.9,1.5,0,2.7,5.1,990.1,2.0,73.0,6.7,-0.8,-4.9
10.6,2.1,0,4.3,7.2,983.5,7.3,70.0,11.8,4.2,2.0
3.3,1.6,0,5.0,4.7,958.8,-1.2,85.0,1.5,-4.5,-6.8
7.9,2.2,0,8.0,6.4,985.1,2.2,90.0,4.2,-0.4,-2.7
16.4,5.9,0,8.0,9.9,954.1,8.0,86.0,11.1,5.4,8.9
24.4,7.3,0,7.1,7.5,967.8,4.8,87.0,8.8,2.5,0.3
7.1,2.9,0,8.0,5.0,995.0,-2.2,97.0,-1.1,-3.3,-3.4
14.1,4.4,0,7.3,12.4,982.1,13.4,82.0,16.4,9.3,9.3
11.6,4.5,0,3.2,3.4,980.6,-3.6,72.0,0.2,-6.5,-8.4
3.4,0.8,0,8.0,13.6,985.8,12.0,96.0,13.1,10.9,11.1
6.2,2.3,0,7.3,12.5,970.6,12.8,85.0,15.5,8.0,4.0
6.7,2.8,0,5.0,12.4,983.8,12.7,84.0,15.4,10.8,10.1
14.9,5.0,0,7.8,8.2,961.8,4.0,100.0,7.4,0.7,-0.8
7.8,1.9,0,5.3,4.9,982.8,-2.2,95.0,1.1,-4.8,-7.3
