Wind_mittel,Sonnenscheindauer,Bedeckungsgrad,Luftdruck,Temp_mittel,relative_Feuchte,Niederschlagsform
1.9,5.633,7.2,983.81,11.7,84.96,1
5.6,0,7.6,979.96,13.2,95.71,1
5.9,2.733,3.7,979.3,9.9,91.88,1
3.6,3.217,4.9,983.58,7.9,93.25,1
4.6,0.583,7.3,984.03,8.3,89.21,1
3.6,0.033,7.4,980.54,11.1,93.29,1
1.8,1.017,6.8,982.76,11.1,91.83,1
3.8,0.4,7.5,981.65,11.8,95.71,1
4.4,2.45,6,985.5,13.2,89.42,1
1.6,1.533,5.1,989.49,13.3,92.79,1
2.5,8.3,3.9,975.43,15.1,66,1
4,2.717,5.3,976.92,13,71.46,1
4.4,0.117,6.7,978.2,11.6,89.63,1
5.7,0,7.5,979.2,8.1,87.83,1
4,0.067,7.7,984.03,8.8,91.63,1
3.9,0,8,986.96,11.3,96,1
2.9,0.1,6.8,986.61,12.4,96.75,1
1.1,0,6.5,987.3,10.5,97.83,1
3.3,4.2,4.7,989.06,10.2,82.04,1
5.7,0.117,6.3,986.59,7.1,87.04,1
6.1,2.283,5.5,978.45,8.6,85.13,1
3.5,0,7.5,978.9,8.9,83.92,1
3.2,3.817,6.8,972.78,11.1,84.46,1
4.1,0,7.5,973.31,7.6,88.5,1
3.1,0,5.9,981.36,3.9,87.46,1
1.9,0,8,979.67,5.3,97.33,1
2.5,0,8,985.35,5.5,93.63,1
5,0,7.8,982.04,4.7,95.46,1
5,0,7.9,974.82,6.7,94.33,1
3.1,0,7.5,967.05,4,95.25,1
2.6,2.083,4.9,978.48,3.8,88.38,1
2.6,0,6.7,986.38,1.1,96.58,1
1.1,0,7.8,987.61,3.3,96.29,1
3.8,0.55,7.6,984.38,4.2,86.79,1
4.6,3.517,5.6,981.77,4,82.67,1
4,0,7,982.86,1.7,93.67,1
5.7,0,8,978.77,5.8,95.54,1
7.2,0.483,6,972.05,11.6,68.33,1
6.4,0.15,7.7,974.15,10.7,82.67,1
4.1,0.333,7.3,975.2,5,91.88,1
4.6,0.3,7.5,985.96,2,88.46,1
7,0,8,982.73,3.1,93.04,1
5.6,0.1,7.6,970.5,3.4,93.92,1
3.2,1,6.8,967.95,1.8,91.04,1
3.7,0,7.6,967.89,0.6,93.46,1
2.3,1.167,6.9,974.92,-0.2,89.42,1
3.4,6.05,4.5,985.6,-1,83.04,1
3.2,0,7.8,988.08,-1.8,86.29,1
3.8,0,8,993.05,0.6,98.46,1
6.6,3.483,6.3,982.03,2.8,84.83,1
5.8,1.833,5.9,974.73,2,89.88,1
6,0.15,7.2,977.65,-1,81.33,1
6.5,0,7.8,955.57,1.3,87.92,1
6.1,0,7.7,945.39,6.7,86,1
6.6,0.783,6.7,970.05,1.4,83.54,1
6.9,1.617,6.5,970.07,1.4,90.38,1
7.9,0.7,7.4,959.67,3.8,84.42,1
5.2,0.617,7.7,959.54,2.4,90.79,1
2.7,0.35,7.3,973.18,2,92.29,1
3.3,0,7.3,985.51,0.3,89.71,1
2.5,0,8,984.74,0.6,95.67,1
1.3,0,8,994.55,2,95.75,1
1.8,0,8,995.15,3.8,97.75,1
2.8,0,8,996.94,5.5,98.5,1
2.7,0,8,996.1,7,98.42,1
3.9,0,8,996.53,6.9,94.96,1
5.4,0,8,991.18,5.5,95.63,1
4,0,7,981.48,2.5,94,1
6.4,0.05,4.9,967.67,5.1,81.96,1
5,0,7.5,951.12,4.1,86.96,1
5.4,0.083,7.4,963.23,1.1,86.5,1
6.2,0.033,7.6,969.48,0.9,88.04,1
7.3,0,7.8,968.33,7.7,91.38,1
8.3,0.333,7.3,970.82,10.7,78.88,1
8.9,0.933,7.5,967.52,6,80.42,1
6.7,0.183,7,974.54,4.8,87,1
10.9,0.417,7.3,963.97,6.9,82.88,1
7.7,0,7.5,963.3,8.1,90.54,1
5.8,0,7.8,964.29,7.7,90.13,1
2.7,0,7.9,969.33,7,93.29,1
3.4,1.25,7.2,974.11,5.6,85.46,1
3.5,1.633,7.6,973.25,5.9,89.5,1
6,0,6.6,973.55,2.8,85.92,1
8.1,0.3,7.3,961.22,5,86.08,1
8.7,1.117,6.9,967.76,2.6,79.63,1
8.2,1.067,6.5,967.26,4.9,85.46,1
5.5,0.033,7.1,972.56,2.8,86.88,1
3.8,0,7.9,967.67,1.5,95.29,1
3.3,3.567,6.6,975.68,1.9,84.75,1
2.8,0,7.6,973.56,6.3,94.17,1
4.2,0.017,7.7,986.25,6.3,84.79,1
5.8,0.017,6.9,982.97,8.4,87.08,1
4.6,0,7.9,976.95,8.1,88.29,1
1.4,0.017,8,980.54,5.5,95.92,1
1.8,0.05,6.7,992.35,2.8,96.83,1
6,0,8,996.43,5,94.58,1
6.8,0,8,992.85,7,92.96,1
2.6,0.117,7.2,990.15,7.1,91.08,1
7.1,0,8,974.68,6.1,93.21,1
5,2.1,6.3,966.04,2.2,87.63,1
4.4,0,7.8,968.76,1,94.38,1
2.4,0.4,7.4,969.52,1.2,90.08,1
2.2,0,7.9,977.21,-0.6,89.25,1
6.2,2.25,6.5,981.6,-0.5,84.17,1
4.2,1.85,6.7,973.61,-0.7,80.96,1
2.8,0,8,977.4,-0.4,84.08,1
3.5,0,7.7,978.41,0.1,90.25,1
6,0,7.8,970.05,0.8,91,1
4.4,3.433,4.9,976.87,0.2,76.67,1
3.2,9.333,2,977.14,-1,66.79,1
2.9,0,8,977.43,2.6,88.33,1
2.1,5.633,6.1,986.35,4.2,80.08,1
3.9,0,7,982.69,0.4,91.21,1
6.7,7.05,2.5,983.71,-6.7,52.21,1
4,8.117,4.5,978.88,-8.2,57.96,1
8,1.633,7.3,964.48,-4.2,48.5,1
5.6,0.05,7.9,957.95,-3.5,68.88,1
3.1,0,8,958.98,-1.3,94.42,1
3.4,3.75,7.1,959.63,4.7,86.25,1
2.7,1.183,6.2,954.73,4.8,83,1
4.8,0.583,6.7,959.99,3.9,88.46,1
6,3.383,6.8,967.25,5.3,79.54,1
2.3,0,8,969.9,6.4,89.42,1
3.5,0,6.9,966.26,10.4,85.04,1
2.7,0,7.6,959.76,9.8,89.54,1
5.3,1.683,7.3,959.21,8.9,86.08,1
6.4,0,7.8,968.34,5.9,89.29,1
4.1,0,6.7,960.22,5.1,83.5,1
3.5,3.15,5.1,963.8,6.8,85.58,1
6.7,0,7.5,962.12,-0.2,87.13,1
7.1,0,7.8,965.23,-3.2,76.46,1
3.2,5.467,3,979.55,-1.3,67.29,1
2.7,0,6.5,980.85,-0.3,85.25,1
2,0,7.6,970.46,3.2,92.96,1
1.5,1.183,6.6,976.4,6.3,68.79,1
4,0.883,7.5,975.03,5.2,82.5,1
6.2,0.65,7.7,967.2,7.4,85.83,1
3.7,4.15,6,969.57,5.4,73.63,1
3,3.267,6.9,964.07,5.3,83.92,1
1.9,6.217,6.5,963.07,5.8,79.29,1
5.5,1.267,7.4,972.19,5.7,80.67,1
3.1,4.483,6.2,970.9,8.2,64.54,1
5,1.983,7,966.97,13,50.5,1
4.3,1.567,7.2,967.15,10.1,79.92,1
5.7,0.883,6.3,976.67,7,79.42,1
3.9,12.233,1.8,974.2,13.9,51.29,1
3.7,3.783,6.3,966.88,13.6,67.5,1
2.5,0.2,7.3,967.36,9.4,89.83,1
2.7,0.2,5.7,971.57,9.9,77.75,1
1.8,8.583,5.4,980.15,13.2,64.17,1
3.4,10.667,4.4,977.26,19.4,57.58,1
3.6,4.55,6,979.01,15.6,76.33,1
5.2,4.2,4.7,976.48,12.2,80.46,1
3.6,6.75,5.1,975.02,11.4,70.54,1
3.9,8.367,6.2,967.41,14.8,76.38,1
7.9,2.117,6.5,967.39,9.9,76.67,1
2.8,9.75,2.5,969.44,18.4,55.33,1
3.3,0.233,6.4,975.16,12.3,82.29,1
2.4,12.25,6,975.94,17.2,66.25,1
3.1,0,7.8,973.4,12.5,93.17,1
2.8,1.333,7.4,972.23,14.6,90.79,1
3.2,12.55,4.2,975.28,15.5,65.25,1
3,5.283,6.5,977.27,14.2,75.67,1
4.4,1.917,6.1,981.48,13.1,76.79,1
3,12.217,4.7,976.18,16.9,68.5,1
1.8,9.083,5.4,975.15,17.1,76.33,1
2.2,2.567,6.9,979.65,16.4,83.67,1
2.2,4.05,5.8,980.15,16.2,84.88,1
2.5,7.267,6.2,980.3,20.7,69.58,1
2.6,6.517,6.7,978.6,20.7,71.71,1
2.9,3.433,5.3,977.2,17.8,83.17,1
2.3,13.083,3.1,977.27,20.7,68.54,1
2.8,10.517,5.5,977.78,19.6,78.33,1
3.4,2.133,6.5,980.95,16.7,89.67,1
3.5,12.433,5,974.11,22,61.88,1
3,10.867,4.6,974.97,21.2,68.75,1
1.6,5.367,7,977.88,18.6,84.5,1
1.6,5.567,6.3,975.74,20.1,82.29,1
1.6,5.783,6.2,975.47,19.2,86.58,1
1.6,8.083,5.7,974.7,20.2,80.29,1
2.3,3.05,6.4,972.86,18.8,88.63,1
3.5,0.35,7.5,972.89,15.6,90.46,1
1.8,5.75,6.9,979.42,15.3,71.46,1
2.5,8.383,6.1,977.85,19.9,70.63,1
2.2,0.433,6.9,977.83,17.4,90.38,1
2.2,8.483,4.8,982.04,19.6,75,1
2.4,6.967,4,979.61,15.6,70.38,1
2.7,9.983,4.7,978.46,19.8,67.58,1
1.5,13.6,3.7,976.35,20.4,67.17,1
2.3,12.25,3.6,978.17,21.1,62.54,1
2.1,10.433,4.9,976.05,22,53.71,1
1.9,14.383,1.8,974.94,26.2,44,1
3.9,6.9,5.3,973.9,22.6,60.63,1
2.5,13.467,1.8,979.94,24.8,56.29,1
2.3,3.183,6.7,983.19,19.8,83.71,1
3.5,11.533,3.4,974.3,26.9,48,1
3.9,5.7,6.1,976.54,22.7,63.79,1
5.2,5.3,5.8,976.83,20.7,72.63,1
4,9.567,3.7,985.75,17.1,64.25,1
2,14.067,2.8,978.63,19.6,51.83,1
3.9,2.133,5.8,973.03,18,80.25,1
2.7,11.867,4.1,978.88,21.1,67.33,1
2.2,8.45,3.5,976.64,21.4,71.54,1
3.9,1.767,6.2,976.64,15.6,77.08,1
4,4.85,4.3,976.6,12.7,71.25,1
1.9,10.367,3.9,979.39,13.7,60.21,1
3.5,0.017,7,978.32,15,83.96,1
3.5,5.6,5.5,976.95,18.3,74.63,1
2.7,0.85,7.4,983.02,15.5,87.5,1
2.4,1.367,7,983.56,15,66.54,1
2.1,5.933,5.8,975.06,18.2,80.58,1
